[2020.04.06 12:11:00:192] EVENT,start thread Logger 32 {32} [5930]
[2020.04.06 12:11:00:192] EVENT,file io allowed to u87wpcfg.dat {14} [5930]
[2020.04.06 12:11:00:192] EVENT,set iswsptrt30 to 4 autotransportdetect=no usetunneling=0 {14} [5930]
[2020.04.06 12:11:00:193] EVENT, upper server set9 to    {14} [5930]
[2020.04.06 12:11:00:194] EVENT,common initialized {14} [5930]
[2020.04.06 12:11:00:194] EVENT,common initialized1 [wpmain] {14} [5930]
[2020.04.06 12:11:00:194] EVENT,apicall API_SetParameter serveraddress,46.105.182.20 [wpmain] {14} [5930]
[2020.04.06 12:11:00:194] EVENT,start thread MAsyncTask 33 {33} [5930]
[2020.04.06 12:11:00:194] EVENT,async task start 9 {33} [5930]
[2020.04.06 12:11:00:194] EVENT,serveraddrlst2: a (170):  b:  c:  d:  e:  f:  g:  h:  i:  j:  {33} [5930]
[2020.04.06 12:11:00:194] EVENT,read config file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfgex.dat (2503) {14} [5930]
[2020.04.06 12:11:00:195] EVENT, configex load finished 78 {14} [5930]
[2020.04.06 12:11:00:195] EVENT,      set parameter (from 6) serveraddress=46.105.182.20 {14} [5930]
[2020.04.06 12:11:00:199] EVENT, network addr set to 192.168.55.101 {33} [5930]
[2020.04.06 12:11:00:199] EVENT, network addr2 set to 192.168.55.101 {33} [5930]
[2020.04.06 12:11:00:200] EVENT,async task 9 finished in 6 msec {33} [5930]
[2020.04.06 12:11:00:295] EVENT,param serveraddress set to 46.105.182.20 [wpmain] {14} [5930]
[2020.04.06 12:11:00:295] EVENT,apicall API_SetParameter username,JSSIP [wpmain] {14} [5930]
[2020.04.06 12:11:00:295] EVENT,      set parameter (from 6) username=JSSIP {14} [5930]
[2020.04.06 12:11:00:299] EVENT,param username set to JSSIP [wpmain] {14} [5930]
[2020.04.06 12:11:00:299] EVENT,apicall API_SetParameter password,wAXNEBaXDJ [wpmain] {14} [5930]
[2020.04.06 12:11:00:299] EVENT,      set parameter (from 6) password=***** {14} [5930]
[2020.04.06 12:11:00:302] EVENT,param password set to wAXNEBaXDJ [wpmain] {14} [5930]
[2020.04.06 12:11:00:302] EVENT,apicall API_AudioDevice [wpmain] {14} [5930]
[2020.04.06 12:11:00:303] EVENT,apicall API_Start (0 472048638 rst: no) [wpmain] {14} [5930]
[2020.04.06 12:11:00:303] EVENT,start thread webphonemain 36 {36} [5930]
[2020.04.06 12:11:00:304] EVENT,cannot ReadCookie Unexpected error: This method should not be used unless loaded from plugin.jar {14} [5930]
[2020.04.06 12:11:00:304] EVENT,will auto register on api_start because 1 [wpmain] {14} [5930]
[2020.04.06 12:11:00:304] EVENT,regdetails: s: -1 0 472048639 472048527 112 [wpmain] {14} [5930]
[2020.04.06 12:11:00:304] EVENT,apicall API_Call -1,48795747847 [wpmain] {14} [5930]
[2020.04.06 12:11:00:304] EVENT, switching idle state to false (from: 21) {14} [5930]
[2020.04.06 12:11:00:312] EVENT,on init [wpmain] {36} [5930]
[2020.04.06 12:11:00:313] EVENT, wpapiconnectport set to m 19421 [wpmain] {36} [5930]
[2020.04.06 12:11:00:360] EVENT,sysenv OS name: Windows 10 , arch: amd64 , vers: 10.0 , patch: - , type: x64  [wpmain] {36} [5930]
[2020.04.06 12:11:00:371] EVENT,sysenv CPU: little amd64  cpuspeed: 9000 (meassured: 0 0) cores: 8 dbg:  [wpmain] {36} [5930]
[2020.04.06 12:11:00:375] EVENT,sysenv JVM: Oracle Corporation Java(TM) SE Runtime Environment 1.8.0_191  [wpmain] {36} [5930]
[2020.04.06 12:11:00:376] EVENT,sysenv USR: PL pl Europe/Belgrade Robert  DESKTOP-V5715DS DESKTOP-V5715DS D:\My Project\SIP_FELGDENT  [wpmain] {36} [5930]
[2020.04.06 12:11:00:378] EVENT, sysenv path: D:\My Project\SIP_FELGDENT, datapath: D:\My Project\SIP_FELGDENT\mwphonedata, configfile: D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfg.dat, logfile: D:\My Project\SIP_FELGDENT\mwphonedata\webphonelog.dat, ext: D:\My Project\SIP_FELGDENT\mwphonedata\, alt: D:\My Project\SIP_FELGDENT\mwphonedata\, from: 413  a u87wpcfg.dat [wpmain] {36} [5930]
[2020.04.06 12:11:00:379] EVENT, toolkit: sun.awt.windows.WToolkit@4f245bbe [wpmain] {36} [5930]
[2020.04.06 12:11:00:381] EVENT,domain: D:, host: D:\My Project\SIP_FELGDENT, url: D:\My Project\SIP_FELGDENT, lib: C:\Program Files\Java\jdk1.8.0_191\bin [wpmain] {36} [5930]
[2020.04.06 12:11:00:381] EVENT,sysenv charsrt: UTF-8 [wpmain] {36} [5930]
[2020.04.06 12:11:00:706] EVENT,deviceid: aPBag5AG [wpmain] {36} [5930]
[2020.04.06 12:11:00:706] EVENT,JVoIP init (loglevel is 5) [wpmain] {36} [5930]
[2020.04.06 12:11:00:707] EVENT,      get parameter (from 10014) audiodevicein=Default {36} [5930]
[2020.04.06 12:11:00:707] EVENT,      get parameter (from 10014) audiodeviceout=Default {36} [5930]
[2020.04.06 12:11:00:707] EVENT,      get parameter (from 10014) audiodevicering=Default {36} [5930]
